Orquesta Típica Porteña Dir. Adolfo Carabelli con Jaime Moreno,Orquesta Típica Porteña,
Orquesta Edgardo Donato con Juan Alessio,Edgardo Donato,Jorge Ortiz
Orquesta Carlos Di Sarli con Jorge Durán,Carlos Di Sarli,Jorge Durán
Orquesta Adolfo Carabelli con Fernando Díaz,Adolfo Carabelli,Fernando Díaz
Orquesta Roberto Firpo con Príncipe Azul,Roberto Firpo,Príncipe Azul
Orquesta Francisco Canaro con Domingo Conte,Francisco Canaro,Domingo Conte
Orquesta Francini - Pontier con Pablo Moreno,"Enrique Francini, Armando Pontier",Pablo Moreno
Orquesta Típica Brunswick con Luis Díaz,Orquesta Típica Brunswick,Luis Díaz
Orquesta Osvaldo Fresedo con coro,Osvaldo Fresedo,-choir-
Orquesta Francisco Lomuto con Jorge Omar y Celly Brian,Francisco Lomuto,"Cerry Brian, Jorge Omar"
Orquesta Osmar Maderna con Héctor Casares y Moreno,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Horacio Casares
Orquesta Juan D'Arienzo con Jorge Valdéz,Juan D'Arienzo,Jorge Valdez
Orquesta Rodolfo Biagi con Alberto Lago,Rodolfo Biagi,Alberto Lago
Orquesta Roberto Firpo con Carlos Viván y Héctor Villanueva,Roberto Firpo,"Osvaldo Novarro, Carlos Viván"
Orquesta Adolfo Carabelli con Mercedes Simone,Adolfo Carabelli,Mercedes Simone
Orquesta Miguel Caló con Raúl del Mar y glosas de Héctor Gagliardi,Miguel Caló,"Héctor Gagliardi, Raúl Del Mar"
Orquesta Héctor Varela,Héctor Varela,-
Orquesta Aníbal Troilo con Tito Reyes,Aníbal Troilo,Tito Reyes
Orquesta Alfredo Gobbi con Jorge Maciel y Ángel Díaz,Alfredo J. Gobbi,"Ángel Díaz, Jorge Maciel"
Orquesta Julio De Caro con Pedro Lauga,Julio De Caro,Pedro Lauga
Orquesta Florindo Sassone con Ángel Díaz,Florindo Sassone,Ángel Díaz
Orquesta Francini - Pontier con Raúl Berón y Roberto Rufino,"Enrique Francini, Armando Pontier","Raúl Berón, Roberto Rufino"
Orquesta Lucio Demare con Juan Carlos Miranda,Lucio Demare,Juan Carlos Miranda
Orquesta Típica Victor con Amando Sentous,Orquesta Típica Víctor,
Orquesta Julio De Caro con Félix Gutiérrez,Julio De Caro,Luis Díaz
Orquesta Rodolfo Biagi con Alberto Amor,Rodolfo Biagi,Alberto Amor
Orquesta Osvaldo Fresedo con Héctor Pacheco,Osvaldo Fresedo,Héctor Pacheco
Orquesta Francini - Pontier,"Enrique Francini, Armando Pontier",-
Orquesta Alfredo Gobbi con Héctor Coral,Alfredo J. Gobbi,Héctor Coral
Orquesta Julio De Caro con Orlando Verri,Julio De Caro,Orlando Verri
Alberto Castillo y su orquesta dir. por Emilio Balcarce,Emilio Balcarce,Alberto Castillo
Orquesta Aníbal Troilo con Floreal Ruiz y Alberto Marino,Aníbal Troilo,"Floreal Ruíz, Alberto Marino"
Orquesta Francisco Lomuto con Jorge Omar,Francisco Lomuto,Jorge Omar
Orquesta Osmar Maderna con Adolfo Rivas,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Adolfo Rivas
"Orquesta Ricardo Tanturi con Elsa Rivas, Juan Carlos Godoy y Horacio Roca",Ricardo Tanturi,"Juan Carlos Godoy, Elsa Rivas, Horacio Roca"
Orquesta Héctor Varela con Carlos Yanel,Héctor Varela,Carlos Yanel
Orquesta Ricardo Tanturi,Ricardo Tanturi,-
Orquesta Julio De Caro con Luis Díaz,Julio De Caro,Luis Díaz
Orquesta Ricardo Tanturi con Enrique Campos y Roberto Videla,Ricardo Tanturi,"Roberto Videla, Enrique Campos"
Orquesta Francisco Lomuto con Jorge Torres,Francisco Lomuto,Jorge Torres
Orquesta Juan D'Arienzo con Walter Cabral,Juan D'Arienzo,Walter Cabral
Orquesta Pedro Laurenz,Pedro Laurenz,-
Orquesta Francisco Rotundo,Francisco Rotundo,-
Orquesta Francisco Canaro con el Coro del Teatro Nacional,Francisco Canaro,"Agustín Irusta, -choir-"
Orquesta Aníbal Troilo con Aníbal Troilo,Aníbal Troilo,Roberto Goyeneche
Orquesta Ángel D'Agostino con Raúl Lavie,Ángel D'Agostino,Raúl Lavié
Orquesta Miguel Caló con Jorge Ortiz,Miguel Caló,Jorge Ortiz
Orquesta Típica Porteña Dir. Adolfo Carabelli con Ernesto Famá,Orquesta Típica Porteña,Ernesto Famá
Orquesta Lucio Demare con Carlos Bernal,Lucio Demare,Carlos Bernal
Orquesta Francini - Pontier con Raúl Berón,"Enrique Francini, Armando Pontier",Alberto Podestá
Orquesta Lucio Demare con Héctor Alvarado,Lucio Demare,Héctor Alvarado
Orquesta Osvaldo Pugliese con Alberto Morán y Juan Carlos Cobos,Osvaldo Pugliese,"Juan Carlos Cobos, Alberto Morán"
Orquesta Miguel Caló con Raúl Iriarte y Roberto Arrieta,Miguel Caló,"Roberto Arrieta, Raúl Iriarte"
Orquesta Héctor Varela con Armando Laborde y Rodolfo Lesica,Héctor Varela,"Armando Laborde, Rodolfo Lesica"
Orquesta Héctor Varela con Armando Laborde y Jorge Rolando,Héctor Varela,"Armando Laborde, Jorge Rolando"
Orquesta Alfredo Gobbi con Carlos Yanel,Alfredo J. Gobbi,Carlos Yanel
Orquesta Osmar Maderna con Héctor Casares,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Horacio Casares
Orquesta Francisco Lomuto con Jorge Omar y Cerry Brian,Francisco Lomuto,"Cerry Brian, Jorge Omar"
Orquesta Osvaldo Pugliese con Adrián Guida,Osvaldo Pugliese,Adrián Guida
Quinteto Pirincho dir. Francisco Canaro con Alberto Arenas y coro,"Quinteto Pirincho, dir. Francisco Canaro",Alberto Arenas
Orquesta Astor Piazzolla,Astor Piazzolla,-
Sexteto Carlos Di Sarli con Roberto Deirene,Carlos Di Sarli,Roberto Dierene
Orquesta Ricardo Malerba con Antonio Maida,Ricardo Malerba,Antonio Maida
Orquesta Francini - Pontier con Alberto Podestá y Raúl Berón,"Enrique Francini, Armando Pontier","Alberto Podestá, Raúl Berón"
Trío Rizzuti - Tagliacozzo - Aníbal Troilo,Aníbal Troilo,
Orquesta Osmar Maderna con Adolfo Rivas y Ruth Durante,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero","Adolfo Rivas, Ruth Durante"
Dúo Roberto Firpo y su hijo,,-
Orquesta Miguel Caló con Raúl Berón,Miguel Caló,Raúl Berón
Orquesta Roberto Firpo,Roberto Firpo,-
Orquesta Típica Victor con Ortega del Cerro,Orquesta Típica Víctor,Ortega del Cerro
Orquesta Francini - Pontier con Roberto Rufino,"Enrique Francini, Armando Pontier",Roberto Rufino
Orquesta Osvaldo Fresedo con Pilar Arcos,Osvaldo Fresedo,Pilar Arcos
Orquesta Francisco Canaro con Roberto Maida y Ángel Ramos,Francisco Canaro,Roberto Maida
Orquesta Ricardo Tanturi con Alberto Guzmán,Ricardo Tanturi,Alberto Guzmán
Astor Piazzolla y su Orquesta De Cuerdas,Astor Piazzolla,-
