Juan D'Arienzo ; Carlos Casares,Juan D'Arienzo,Carlos Casares
Enrique Santos Discepolo ; Libertad Lamarque,Mario Maurano,Libertad Lamarque
Eduardo Stubbs ; Instrumental,,-
Osváldo Fresedo ; Iván Casadó,Osvaldo Fresedo,Iván Casadó
Enrique Santos Discepolo ; Tania,Enrique Discépolo,Tania
Osvaldo Fresedo ; Blanca Mooney,Osvaldo Fresedo,Blanca Mooney
Hector Varela ; Jorge Fontan Reyes,Héctor Varela,Jorge Fontán Reyes
"Eduardo Bianco, Bachicha ; Juan Raggi, Eduardo Bianco","Eduardo Bianco, Bachicha","Eduardo Bianco, Juan Raggi"
"Eduardo Bianco ; Eduardo Bianco, Jose Cohan",Eduardo Bianco,Eduardo Bianco
Unknown ; Unknown,,
Lucio Demare ; Roberto Arrieta,Lucio Demare,Roberto Arrieta
Juan D'Arienzo ; Juan Carlos Lamas,Juan D'Arienzo,Juan Carlos Lamas
Roberto Luratti ; Carlos Burgos,Roberto Lurati,Carlos Burgos
Orquesta Típica Víctor ; Roberto Díaz,Orquesta Típica Víctor,Roberto Díaz
Francisco Canaro ; Francisco Amor,Francisco Canaro,Francisco Amor
Francisco Alongi ; Instrumental,Francisco Alongi,
Eduardo Del Piano ; Angel Vargas,Eduardo Del Piano,Ángel Vargas
José García ; Instrumental,José García,-
"Juan Sanchez Gorio ; Luis Mendoza, Osvaldo Bazan",Juan Sánchez Gorio,"Luis Mendoza, Osvaldo Bazán"
Los Reyes Del Tango ; Instrumental,,-
Alfredo Gobbi ; Alfredo Del Rio,Alfredo J. Gobbi,Alfredo del Río
Orquesta Tipica Victor (OTV) ; Roberto Diaz,Orquesta Típica Víctor,Roberto Díaz
Tano Genaro ; Instrumental,Genaro Esposito,-
"Ciriaco Ortiz ; Alberto Gomez, Alberto Vila",Los Provincianos,"Alberto Vila, Alberto Gómez"
Armando Cupo ; Alberto Morán,Armando Cupo,Alberto Morán
"Francisco Canaro ; Ernesto Fama, Mirna Mores",Francisco Canaro,"Ernesto Famá, Mirna Mores"
Juan D'Arienzo ; Francisco Fiorentino,Juan D'Arienzo,Francisco Fiorentino
Orquesta Típica Víctor ; Alberto Carol,Orquesta Típica Víctor,Alberto Carol
Donato Racciatti ; Felix Romero,Donato Racciatti,Félix Romero
Miguel Calo ; Miguel Martino,Miguel Caló,Miguel Martino
"Alfredo De Angelis ; Floreal Ruíz, Néstor Rodi",Alfredo De Angelis,"Floreal Ruíz, Néstor Rodi"
Juan Felix Maglio ; Jose E. Galarza,Juan Félix Maglio,José E. Galarza
Osváldo Pugliese ; Adrián Guida,Osvaldo Pugliese,Adrián Guida
Miguel Orlando ; Tino Rossi,Miguel Orlando,
Anibal Troilo ; Raul Beron,Aníbal Troilo,Raúl Berón
Anselmo Aieta ; Luis Scalon,Anselmo Aieta,
Francisco Canaro ; Unknown,"Quinteto Pirincho, dir. Francisco Canaro",-
"Edgardo Donato, Roberto Zerrillo ; Unknown","Edgardo Donato, Roberto Zerrillo",Luis Díaz
Hermanos Ricardo ; Lucy Clory,,-unspecified female-
Tres Guitarras Argentinas ; Instrumental,,
Miguel Calo ; Raul Iriarte,Miguel Caló,Raúl Iriarte
Lhasa ; Lhasa de Sela,,
Juan Cruz Mateo ; Unknown,Juan Cruz Mateo,-unspecified male-
Pedro Laurenz ; Juan Carlos Casas,Pedro Laurenz,Juan Carlos Casas
Eduardo Bianco ; Unknown,Eduardo Bianco,-unspecified male-
Jose Servidio ; Instrumental,José Servidio,-
Antonio Scatasso ; Instrumental,Antonio Scatasso,
Joaquin Do Reyes ; Instrumental,Joaquín Do Reyes,
Roberto Calo ; Carlos Roldan,Roberto Caló,Carlos Roldán
Juan Bautista Guido ; Instrumental,Juan Bautista Guido,-
Juan Guido ; Instrumental,Juan Bautista Guido,-
Francisco Rotundo ; Jorge Duran,Francisco Rotundo,Jorge Durán
Pedro Laurenz ; Hector Juncal,Pedro Laurenz,Héctor Juncal
Armando Pontier ; Instrumental,Armando Pontier,
Francisco Canaro ; Roberto Maida,Francisco Canaro,Roberto Maida
Francisco Lomuto ; Alberto Rivera,Francisco Lomuto,Alberto Rivera
Mariano Mores ; Mario Ponce De Leon,Mariano Mores,Mario Ponce De Leon
