Interprete,Album,Track,Tema
"DE ANGELIS, ALFREDO",LOS DUOS CON DANTE Y LARROCA,10,JUANA MILONGA... SEÑORES
"D ARIENZO, JUAN",B. BELGRANO---MAS GRANDE QUE NUNCA,10,LA BRUJA
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,7,LA CUARENTONA
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,3,LA FIRMESA
"FRESEDO, OSVALDO",APASIONADO,20,LA GUITARRITA MILONGUERA
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,17,LA LOBA
"RODRIGUEZ, ENRIQUE",SUS PRIMEROS SUCESOS,8,LA MAJA ARISTOCRATICA
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,13,LA MOROCHA
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,20,LA OLLA I LOCRO
"DEL PIANO, EDUARDO",ORQUESTAS OLVIDADAS,11,LA RAYUELA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,18,LA RAYUELA
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,1,LA TRILLA
"TANTURI, RICARDO",UNA EMOCIÓN,17,LA URUGUAYITA LUCIA
"PUGLIESE, OSVALDO",EL ESLABON PERDIDO,14,"LA YUMBA DE LA PELICULA,( MIS CINCO HIJOS )"
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,6,LAS ROSAS DE MI MADRE
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,11,LCURA...LOCURA
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,12,MALAMBO
"D ARIENZO, JUAN",B. BELGRANO -- MAS GRANDE QUE NUNCA,8,MAS GRANDE QUE NUNCA
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,16,MATRACA
"CANARO, FRANCISCO",VALSES Y RANCHERAS,6,ME ENAMORE UNA VEZ
"ROSSI, RAFAEL","VALSES, RANCHERAS Y PASODOBLES",5,MI COMADRE DOMINGA
"DARIENZO, JUAN",PURO TANGO,13,MI NOVIA DE AYER
HERMANAS BERON,PORTEÑOS Y PROVINCIANOS,4,MI PACHAMAMA
"DARIENZO, JUAN",META FIERRO--YUNTA BRAVA,20,MIEDO
"DARIENZO, JUAN",PURO TANGO,12,MIENTRAS SUEÑA BUENOS AIRES
"DARIENZO, JUAN",META FIERRO--YUNTA BRAVA,18,MILONGA DEL 83
"MORES, MARIANO",GRANDES EXITOS,3,MILONGA SENTIMENTAL
"MORES, MARIANO",TEMAS MEMORABLES,6,MILONGA SENTIMENTAL
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,20,MILONGA SENTIMENTAL
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,7,MON CHERIE ( MI QUERIDA )
"TANTURI, RICARDO",UNA EMOCIÓN,8,MUCHACHOS COMIENZA LA RONDA
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",16,NO AFLOJES
"VIDAL, JORGE",RECORDANDO EXITOS,20,NO HAY OTRO CARLOS GARDEL
"PUGLIESE, OSVALDO",SUS EXITOS CON ALBERTO MORAN VOL. 2,5,NO QUIERO PERDERTE
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,16,NOCHE CALLADA
ORQUESTA TIPICA VICTOR,COLECCION 78 RPM 1929 - 1944,14,NOCHES DE INVIERNO
"VIDAL, JORGE",RECORDANDO EXITOS,17,NOCTURNO A ROSARIO
CHARLO,SUS GRANDES EXITOS,1,NOSTALGIAS
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,9,NUEVE DE JULIO
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,20,OLGA
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,2,ORGANITO DE LA TARDE
"MORES, MARIANO",GRANDES EXITOS,1,ORO Y GRIS
"MALERBA, RICARDO",A BAILAR,23,PALAIS DE GLACE
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,16,PARA USTEDES
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,6,"PARE AQUI, CHOFER"
"DARIENZO, JUAN",PURO TANGO,11,POCO Y BUENO
"DARIENZO, JUAN",PURO TANGO,17,POR ESO VENGO CANTAR
"PUGLIESE, OSVALDO",SUS EXITOS CON ALBERTO MORAN VOL. 2,8,PORQUE NO TE TENGO MAS
"DARIENZO, JUAN",PURO TANGO,21,PREFIERO PERDERTE
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,2,PURA MAÑA
"DARIENZO, JUAN",PURO TANGO,1,PURO TANGO
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",11,QUE IRONIA
"FRESEDO, OSVALDO",MILONGUERO VIEJO,1,QUE LEJOS DE MI BUENOS AIRES
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,8,QUE NOCHE
"DE ANGELIS, ALFREDO","EXITOS CON GODOY, FLORIO Y MARTEL",12,QUE SERA CORAZON
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,5,QUE TE PASA BUENOS AIRES
"D ARIENZO, JUAN",ATANICHE,10,RAWSON
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,15,RAYITO
"DARIENZO, JUAN",META FIERRO--YUNTA BRAVA,10,SANTA MILONGUITA
"SOSA, JULIO",EL TANGO LO SIENTO ASI,12,SECRETO
"DE ANGELIS, ALFREDO",LOS DUOS CON DANTE Y LARROCA,9,SELECCION DE VALSES
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,15,SEÑOR...NO ME LA QUITES
"MORES, MARIANO",TEMAS MEMORABLES,11,SILBANDO
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,6,SOLO QUIERO SER FELIZ
"MORES, MARIANO",TEMAS MEMORABLES,9,SUEÑO DE JUVENTUD
"DARIENZO, JUAN",PURO TANGO,22,TAMBALEANDO
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,13,TANGO Y TURF (SELECCION DE TANGOS)
"DE ANGELIS, ALFREDO",LOS DUOS CON DANTE Y LARROCA,17,TEMAS DE CARNAVAL
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,12,TODO ES AMOR
"MORES, MARIANO",TEMAS MEMORABLES,13,TU PIEL DE JAZMIN
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,18,UN MENDIGO
"RODRIGUEZ, ENRIQUE","TANGOS, VALSES Y MILONGAS",7,UNO QUE HA SIDO MARINO
"DARIENZO, JUAN",PURO TANGO,10,VALORO A ESE HOMBRE
"TROILO, ANIBAL",SUR VOL. 05,11,"VAMOS, VAMOS, ,ZAINO VIEJO"
"DARIENZO, JUAN",PURO TANGO,9,VOLVES A MI
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,15,VUELVE AMOR
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,2,Y OLVIDA CORAZON
BASSO JOSE,JOSE BASSO.SUS EXITOS CON FLOREAL RUIZ,5,Y TODAVIA TE QUIERO
"MORES, MARIANO",TEMAS MEMORABLES,8,YIRA YIRA
"DE ANGELIS, ALFREDO",CON SABOR A TANGO,5,YO NO SE LLORAR
"DARIENZO, JUAN",PURO TANGO,8,YO SOLO
"DARIENZO, JUAN",PURO TANGO,7,YO TE SALUDO PALERMO
"SALAMANCA, FULVIO",SUS GRANDES EXITOS,8,YO TENGO UN PECADO NUEVO
"D ARIENZO, JUAN",COLOR CIELO 1944/1947,2,EL HURACAN
DEL PIANO EDUARDO,DEL BUENOS AIRES DE AYER,5,1910
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,8,1910
LAURENZ PEDRO,FIRULETEAR...,25,24 DE AGOSTO
"LAURENZ, PEDRO",COLECCION 78 R.P.M. 1937 -- 1943,20,24 DE AGOSTO
