Interprete,Album,Track,Tema
DEL RIO ALFREDO,COL 5013,22,DICHA PASADA
DEL RIO ALFREDO,COL 5013,22,DICHA PASADA
DEL RIO ALFREDO,COL 5013,22,DICHA PASADA
DEL RIO ALFREDO,COL 5013,22,DICHA PASADA
"ROTUNDO, FRANCISCO","ROTUNDO, PARA RECORDARLO",21,DICHA PASADA
"SOSA, JULIO",EL VARON DEL TANGO,9,DICHA PASADA
TROILO ANIBAL,VOLUMEN 18,14,DICHA PASADA
BIAGI RODOLFO,PURA CLASE,14,DICHAS QUE VIVI
BIAGI RODOLFO,TANGO Y MILONGA,19,DIDI
BIAGI RODOLFO,PICANTE,4,DIDI
BIAGI RODOLFO,FIRPO ROBERTO,8,DIDI
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTALES 41/65",3,DIDI
DI SARLI CARLOS,LO MEJOR DE CARLOS DI SARLI,11,DIDI
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,7,DIDI
ARTISTAS VARIOS,BOLEROS INOLVIDABLES,6,DIEZ AÑOS
"D ARIENZO, JUAN",B. BELGRANO-- MÁS GRANDE QUE NUNCA,5,DIEZ AÑOS
"FIORENTINO, FRANCISCO",SU DISCOGRAFIA JUNTOS,3,DIEZ AÑOS PASAN
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 1927/1934,5,DIIOS MOMO
"D ARIENZO, JUAN",COMPADRON 1940/1944,4,DIME MI AMOR
"OLMOS, SABINA",VOCES FEMENINAS RCA 78 RPM 1927/1962,9,DIME MI AMOR
LOMUTO FRANCISCO,ESTIRPE DE TANGO,9,DIMELO AL OIDO
DEMARE LUCIO,VOLUMEN 1,4,DIN DON
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1938/1942,4,DIN DON
"DI SARLI, CARLOS",DI SARLI--RUFINO--PODESTA VOL. 3,17,DINERO... DINERO
DONATO EDGARDO,CORRALES VIEJOS,13,DIOS LO SABE
ORQUESTA TIPICA VICTOR,COLECCION 78 RPM 1929 - 1944,1,DIOS MOMO
"D ARIENZO, JUAN",COLOR CIELO 1944/1947,20,DIOS TE SALVE MI HIJO
"SOSA, JULIO",EL VARON DEL TANGO,11,DIOS TE SALVE M HIJOI
"FRESEDO, OSVALDO",DE UN TIEMPO QUE PASO,9,DISCEPOLIN
CENTEYA JULIAN,POEMAS Y GLOSAS,9,DISCEPOLIN
FRANCINI-PONTIER,VOLUMEN 4,5,DISCEPOLIN
FRANCINI-PONTIER,1951/1955,1,DISCEPOLIN
TROILO ANIBAL,BATC 89188,16,DISCEPOLIN
TROILO ANIBAL,VOLUMEN 9,9,DISCEPOLIN
"TROILO, ANIBAL",BIEN MILONGA VOL. 01,9,DISCEPOLIN
DEL PIANO EDUARDO,BUSTOS-DE ROSAS,10,DISCOS DE GARDEL
DEL RIO ALFREDO,COL 5013,19,DISFRAZADO
DEL RIO ALFREDO,COL 5013,19,DISFRAZADO
DEL RIO ALFREDO,COL 5013,19,DISFRAZADO
DEL RIO ALFREDO,COL 5013,19,DISFRAZADO
DEL RIO ALFREDO,COL 5013,19,DISFRAZADO
BRUNELLI FELICIANO,GRANDES EXITOS,9,DISIMULEMOS
BRUNELLI FELICIANO,GRANDES EXITOS,9,DISIMULEMOS
BRUNELLI FELICIANO,GRANDES EXITOS,9,DISIMULEMOS
JOSE COLANGELO CUARTETO,PLAZA JULIAN,9,DISONANTE
CUARTETO FEDERICO-GRELA,TANGOS PARA UN PATIO...,8,DISTANCIA
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 2,2,DISTANCIA
FRESEDO OSVALDO,A BAILAR,7,DIVAGANDO
FRESEDO OSVALDO,COBIAN-FRESEDO,1,DIVAGANDO
FRESEDO OSVALDO,TANGO MIO,11,DIVAGANDO
"FRESEDO, OSVALDO",VUELVES 1937/1939,17,DIVAGANDO
"FRESEDO, OSVALDO",DE UN TIEMPO QUE PASO,3,DIVINA
ALONSO OSCAR,CHE BANDONEON,17,DIVINA
DEMARE LUCIO,VOLUMEN 5,14,DIVINA
"MADERNA, OSMAR","MADERNA, OSMAR 1946---1951",15,DIVINA
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 03 (1949/1951)",6,DIVINA
ORQUESTA TIPICA PORTEÑA,SUS ULTIMAS GRABACIONES,5,DIVINA
VALOTTA JOSE,PERFUME DE MUJER,1,DIVINA
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
CHARLO,COL 5012,15,DIVINA MUJER
DEL PIANO EDUARDO,BUSTOS-DE ROSAS,14,DOBLANDO EL CODO
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES VOL. 2,15,DOBLANDO EL CODO
SALGAN HORACIO,AUT 6002,6,DOBLE CASTIGO
CABALLERO MANUEL,PA LOS QUE SEPAN BAILAR,12,DOBLE FALTA
"FIORENTINO, FRANCISCO",SU DISCOGRAFIA JUNTOS,12,DOLOR DE TANGO
"DI SARLI, CARLOS",TANGUEANDO TE QUIERO,4,DOMANI
"TANTURI, RICARDO",UNA EMOCIÓN,15,DOMINGO A LA NOCHE
"MONTERO, MIGUEL",SUS MAS GRANDES CREACIONES,19,DOMINGO A LA NOCHE
CALO MIGUEL,RECORDANDO EXITOS,14,DOMINGO A LA NOCHE
BRUNELLI FELICIANO,GRANDES EXITOS,14,DOMINGO DE RAMOS
BRUNELLI FELICIANO,GRANDES EXITOS,14,DOMINGO DE RAMOS
BRUNELLI FELICIANO,GRANDES EXITOS,14,DOMINGO DE RAMOS
CALO MIGUEL,MIGUEL CALO.AL COMPAS DEL CORAZON,16,DOMINGO EN LA NOCHE
"MAFFIA, PEDRO","EL PENSAMIENTO/MAFFIA,PEDRO1930/1937",19,DOMINO
BASSO JOSE,VOLUMEN 2,15,DON AGUSTIN BARDI
CARUSO CARLOS E.,VOLUMEN 2,16,DON AGUSTIN BARDI
JULIO AHUMADA ORQUESTA,COL 5015,13,DON AGUSTÍN BARDI
JULIO AHUMADA ORQUESTA,COL 5015,13,DON AGUSTÍN BARDI
JULIO AHUMADA ORQUESTA,COL 5015,13,DON AGUSTÍN BARDI
SALGAN HORACIO,LOS MEJORES INSTRUMENTALES,20,DON AGUSTIN BARDI
DARIENZO JUAN,AQUELLOS TANGOS...,18,DON ALFONSO
CANARO FRANCISCO,BAR EXPOSICION,12,DON ALVARO
"CANARO, FRANCISCO",INVIERNO 1937,1,DON ALVARO
"PUGLIESE, OSVALDO",INSTRUMENTALES INOLVIDABLES VOL. 2,11,DON ANICETO
"PUGLIESE, OSVALDO",INSTRUMENTALES INOLVIDABLES VOL. 2,9,DON ATILIO
VALOTTA JOSE,PERFUME DE MUJER,4,DON ENRIQUE
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,4,DON ESTEBAN
QUINTETO DON PANCHO,ZORRO GRIS,4,DON ESTEBAN
"SASSONE, FLORINDO","SASSONE, FLORINDO 78 RPM 1947/1956",6,DON ESTEBAN
DARIENZO JUAN,CLAVEL,19,DON GOYO
MANCIONE ALBERTO,MANCIONE Y SUS CANTORES,4,DON GOYO
MORA ENRIQUE CUARTETO,EL CATEDRATICO,8,DON GOYO
SALGAN HORACIO,LOS MEJORES INSTRUMENTALES,13,DON GOYO
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,18,DON JOSE MARIA
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,5,DON JOSE MARIA
DI SARLI CARLOS,EU 16010,3,DON JOSE MARIA
DI SARLI CARLOS,EU 16010,3,DON JOSE MARIA
DI SARLI CARLOS,EU 16010,3,DON JOSE MARIA
CHARLO,UNA VOZ INOVIDABLE,10,DON JUAN
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1943,12,DON JUAN
BASSO JOSE,JOSE BASSO.CANTAN FIORENTINO,9,DON JUAN
BASSO JOSE,LOS MEJORES INSTRUMENTALES,5,DON JUAN
"D ARIENZO, JUAN",LOS MEJORES INSTRUMENTALES,3,DON JUAN
DEMARIA CARLOS,BRINDIS DE TANGO,9,DON JUAN
DI SARLI CARLOS,LO MEJOR DE CARLOS DI SARLI,8,DON JUAN
DI SARLI CARLOS,MILONGUERO VIEJO,20,DON JUAN
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,8,DON JUAN
FRANCINI-PONTIER,GRAN ENCUENTRO,18,DON JUAN
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 1,5,DON JUAN
MADERNA OSMAR,VOLUMEN 1,10,DON JUAN
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 01 (1946/1947)",10,DON JUAN
MORA ENRIQUE CUARTETO,EL CATEDRATICO,18,DON JUAN
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 78 RPM 1930/1944,3,DON JUAN
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 1927/1934,16,DON JUAN
ORQUESTA TIPICA VICTOR,CONJUNTOS DEL SELLO VICTOR,16,DON JUAN
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,4,DON JUAN
TROILO ANIBAL,VOLUMEN 21,2,DON JUAN
"TROILO, ANIBAL",DE MUY ADENTRO VOL. 04,2,DON JUAN
LOMUTO FRANCISCO,PERFUME DE MUJER,9,DON JUAN MALEVO
"LOMUTO, FRANCISCO",PERFUME DE MUJER,9,DON JUAN MALEVO
"D ARIENZO, JUAN",MUCHO MUCHO,15,DON ORLANDO
DARIENZO JUAN,EU 16009,5,DON ORLANDO
DARIENZO JUAN,EU 16009,5,DON ORLANDO
DARIENZO JUAN,EU 16009,5,DON ORLANDO
DO REYES JOAQUIN,FIGARI-DO REYES,17,DON ROSENDO
DO REYES JOAQUIN,FIGARI-DO REYES,17,DON ROSENDO
DEMARE LUCIO,VOLUMEN 5,2,DONDE
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,18,DONDE ANDARA
BRUNELLI FELICIANO,GRANDES EXITOS,19,DONDE ESTA ZAZA
BRUNELLI FELICIANO,GRANDES EXITOS,19,DONDE ESTA ZAZA
BRUNELLI FELICIANO,GRANDES EXITOS,19,DONDE ESTA ZAZA
LOMUTO FRANCISCO,QUEJIDOS DE TANGO,16,DONDE ESTAN
RODRIGUEZ ENRIQUE,TANGOS Y RITMOS,15,DONDE ESTARA MI VIDA
BASSO JOSE,JOSE BASSO.SUS EXITOS CON FLOREARL RUIZ,3,DONDE ESTAS
DI SARLI CARLOS,NUBES DE HUMO,12,DONDE ESTAS
DI SARLI CARLOS,SEGUNDA EPOCA,14,DONDE ESTAS
DI SARLI CARLOS,SEGUNDA EPOCA,18,DONDE ESTAS
DI SARLI CARLOS,DI SARLI-FLORIO-DURAN,22,DONDE ESTAS
"FRESEDO, OSVALDO",MILONGUERO VIEJO,3,DONDE ESTAS
PACHECO HECTOR Y SU ORQUESTA,TANGOS ROMANTICOS,17,DONDE ESTAS
ARTISTAS VARIOS,TEMAS CANTADOS,3,DONDE ESTAS CORAZON
CASTIILLO ALBERTO,ALBERTO CASTILLO.DE MI BARRIO,11,DONDE ESTAS CORAZON
CORSINI IGNACIO,EL TROVADOR,18,DONDE ESTAS CORAZON
"BASSO, JOSE",DONDE ESTAS JAPONESITA 1970,7,DONDE ESTAS JAPONESITA
OSCAR FERRARI,1949-1960,11,"DONDE ESTAS, CORAZON"
DI SARLI CARLOS,AUT 6001,22,DÓNDE ESTÁS?
CANARO FRANCISCO,DJ-TANGO,10,DONDE HAY UN MANGO?
CANARO FRANCISCO,ALMA PORTEÑA,5,DONDE HAY UN NOVIO?
MARINO ALBERTO,PONTIER ARMANDO,22,DONDE QUIERA QUE ESTES
ORQUESTA TIPICA VICTOR,ACORDATE,15,DONDE VAS
ARTISTAS VARIOS,BOLEROS INOLVIDABLES,19,DOS ALMAS
LOS ASES DEL TANGO,MARCHESE-SAN MIGUEL,5,DOS CANARIOS
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,18,DOS CANARIOS
CANARO FRANCISCO,SENCILLO Y COMPADRE,16,DOS CORAZONES
CANARO FRANCISCO,CON LOS AMIGOS,18,DOS CORAZONES
CANARO FRANSISCO,FRANSISCO CANARO.MILONGUEANDO CON CANARO,4,DOS CORAZONES
DEMARE LUCIO,VOLUMEN 3,13,DOS CORAZONES
DEMARE LUCIO,NEGRO EL 20 1944-1951,6,DOS CORAZONES
CALO MIGUEL,"MIGUEL CALO.SUS EXITOS CON PODESTA,ORTIZ Y BERON",6,DOS FRACASOS
CALO MIGUEL,CUATRO COMPASES,3,DOS FRACASOS
ARTISTAS VARIOS,BOLEROS INOLVIDABLES,13,DOS GARDENIAS
"D ARIENZO, JUAN",DE ANTAÑO 1938/1939,8,DOS GUITAS
DARIENZO JUAN,EU 16009,7,DOS GUITAS
DARIENZO JUAN,EU 16009,7,DOS GUITAS
DARIENZO JUAN,EU 16009,7,DOS GUITAS
PUGLIESE OSVALDO,VAYAN SALIENDO,21,DOS OJOS TRISTES
DEMARE LUCIO,VOLUMEN 3,2,DOS PALABRAS POR FAVOR
"DEMARE, LUCIO",COMO SE HACE UN TANGO 1943,20,DOS PALABRAS POR FAVOR
"PUGLIESE, OSVALDO",SUS EXITOS CON ALBERTO MORAN VOL. 2,20,DOS QUE SE AMAN
DI SARLI CARLOS,SEGUNDA EPOCA,7,DUELE MAS
DI SARLI CARLOS,EU 16010,18,DUELE MAS
DI SARLI CARLOS,EU 16010,18,DUELE MAS
DI SARLI CARLOS,EU 16010,18,DUELE MAS
"CALO, MIGUEL","CALO, MIGUEL Y VOCES INVITADAS 1966/67",7,DUELO CRIOLLO
CANARO FRANSISCIO,FRANSISCO CANARO.TANGOS INOLVIDABLES DEL 40,6,DUELO CRIOLLO
CARLOS GARDEL,GARDEL-DE ANGELIS,4,DUELO CRIOLLO
DI SARLI CARLOS,PRIMERA EPOCA,15,DUELO CRIOLLO
SEOANE ANTONIO,GARDELIANOS,6,DUELO CRIOLLO
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,14,DUELO CRIOLLO
CANARO JUAN,AHI VA EL DULCE,11,DUEÑO Y SEÑOR
DI SARLI CARLOS,NUBES DE HUMO,7,DUERME MI AMOR
BIAGI RODOLFO,ESTRELLA,13,DUERME MI NIÑA
CALÓ MIGUEL,COL 5003,19,DULCE AMARGURA
"CALO, MIGUEL","CALO, MIGUEL Y SUS CANTORES",6,DULCE AMARGURA
FRESEDO OSVALDO,NIEBLA DEL RIACHUELO,23,DULCE AMARGURA
"FRESEDO, OSVALDO",VUELVES 1937/1939,11,DULCE AMARGURA
ALEMAN OSCAR,TENGO RITMO,1,DULCE GEORGIA BROWN
"FIRPO, ROBERTO",TANGOS Y VALSECITOS VOL. 2,15,DULCE PERDON
PIAZZOLLA ASTOR,"TANGO, EL EXILIO DE GARDEL -",6,DUO DE AMOR
CALO MIGUEL,MIGUEL CALO.DESPUES DE LAS ESTRELLAS,20,ECHALE SAL
CALO MIGUEL,LOS MEJORES INSTRUMENTALES,2,ECHALE SAL
CANARO FRANCISCO,BAR EXPOSICION,25,ECHALE SAL
CANARO FRANCISCO,LA ROMPEDORA,15,ECHALE SAL
CENTEYA JULIAN,POEMAS Y GLOSAS,3,EDUARDO AROLAS
TAGINI FLAVIO,7 LOCOS,1,EDUARDO ERGUETA
TAGINI FLAVIO,7 LOCOS,1,EDUARDO ERGUETA
TAGINI FLAVIO,7 LOCOS,1,EDUARDO ERGUETA
"FRESEDO, OSVALDO",TIGRE VIEJO COLEC. 78 RPM.- 1933 - 1948 -,22,EL 11 A DIVERTIESE
"DEMARIA, CARLOS",ORQUESTAS OLVIDADAS VOL. 1,9,EL AMANECER
"D ARIENZO, JUAN",COLOR CIELO 1944/1947,1,EL APACHE ARGENTINO
CHARLO,UNA VOZ INOLVIDABLE,11,EL LLORON
"RODRIGUEZ, ENRIQUE",SOLOS DE ORQUESTA,16,EL RAPIDO
BIAGI RODOLFO,PURA CLASE,5,EL 13
"CARABELLI, ADOLFO",INSPIRACION (1931/1934),16,EL 13
MARTIN REYNALDO,POEMAS EN TANGO,1,EL ABRAZO
ANIBAL TROILO-ROBERTO GRELA,TROILO-GRELA,11,EL ABROJITO
NUEVO QUINTETO REAL,COL 5017,11,EL ABROJITO
NUEVO QUINTETO REAL,COL 5017,11,EL ABROJITO
NUEVO QUINTETO REAL,COL 5017,11,EL ABROJITO
SALAMANCA FULVIO,TODO CORAZON,12,EL ABROJITO
"SALAMANCA, FULVIO",TODO CORAZON (1964/1967),12,EL ABROJITO
"SALAMANCA, FULVIO",EL TANGO EN LA TEVE. Y RADIO,21,EL ABROJITO
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,1,EL ABROJITO
TROILO ANIBAL-GRELA ROBERTO,VOLUMEN 14,11,EL ABROJITO
DI SARLI CARLOS,NUBES DE HUMO,8,EL ABROJO
DI SARLI CARLOS,BARDI AGUSTIN,19,EL ABROJO
DI SARLI CARLOS,DAN 4005,6,EL ABROJO
CANARO FRANCISCO,BAR EXPOSICION,9,EL ACOMODO
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,13,EL ACOMODO
DONATO EDGARDO,SACALE PUNTA,1,EL ACOMODO
DONATO EDGARDO,EL HURACAN,8,EL ACOMODO
DONATO EDGARDO,CHIQUE,4,EL ACOMODO
CANARO FRANSISCO,FRANSISCO CANARO.ROBERTO MAIDA CANTA SUS EXITOS,11,EL ADIOS
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,2,EL ADIOS
CORSINI IGNACIO,EL CABALLERO CANTOR,1,EL ADIOS
DONATO EDGARDO,CORRALES VIEJOS,21,EL ADIOS
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,12,EL ADIOS
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES VOL. 2,1,EL ADIOS
FIRPO ROBERTO,DE VUELTA AL PAGO,11,EL ADIOS DEL BOYERO
"CARABELLI, ADOLFO",ADOLFO CARABELLI 1927-1935,2,EL AEROPLANO
"D ARIENZO, JUAN",ATANICHE,22,EL AEROPLANO
"RODRIGUEZ, ENRIQUE",SOLOS DE ORQUESTA,9,EL AFRICANO
"D ARIENZO, JUAN",ATANICHE,19,EL AFRICANO
LEOPOLDO FEDERICO-ROBERTO GRELA,VOLUMEN 1,4,EL AFRICANO
RODRIGUEZ ENRIQUE,ESTE ES TU TANGO,19,EL AFRICANO
RODRIGUEZ ENRIQUE,LOS MEJORES...,9,EL AFRICANO
TROILO ANIBAL,VOLUMEN 21,3,EL AFRICANO
"TROILO, ANIBAL",VOLUMEN 6,9,EL AFRICANO
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,2,EL AFRICANO
DEMARE LUCIO,VOLUMEN 3,18,EL AGUACERO
"DEMARE, LUCIO",NEGRO EL 20 1944-1951,11,EL AGUACERO
"MAGLIO, JUAN (PACHO)",SABADO INGLES,24,EL AGUACERO
CASTILLO ALBERTO,ALBERTO CASTILLO.CANDOMBES Y MILONGAS,17,EL AGUATERO
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,9,EL ALACRAN
QUINTETO DON PANCHO,ZORRO GRIS,12,EL ALACRAN
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,13,EL ALACRAN
DI SARLI CARLOS,MILONGUERO VIEJO,25,EL AMANECER
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,5,EL AMANECER
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,3,EL AMANECER
DI SARLI CARLOS,DOS MAESTROS...,2,EL AMANECER
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1943,16,EL AMANECER
FEDERICO DOMINGO,LOS MEJORES INSTRUMENTALES,4,EL AMANECER
FIRPO ROBERTO,DE VUELTA AL PAGO,20,EL AMANECER
FIRPO ROBERTO,FIRPO-CANARO,3,EL AMANECER
FRANCINI-PONTIER,GRAN ENCUENTRO,2,EL AMANECER
ORQUESTA GENTE DE TANGO,ORQUESTA SEÑORIAL,9,EL AMANECER
ORQUESTA GENTE DE TANGO,ORQUESTA SEÑORIAL,9,EL AMANECER
ORQUESTA GENTE DE TANGO,ORQUESTA SEÑORIAL,9,EL AMANECER
ORQUESTA TIPICA VICTOR,BAILARIAS,18,EL AMANECER
PEDEVILLA RICARDO,FIRPO ROBERTO,14,EL AMANECER
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),5,EL AMANECER
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,15,EL AMANECER
QUINTETO REAL,EL TANGO EN LA TV,11,EL AMANECER
SALAMANCA FULVIO,TODO CORAZON,11,EL AMANECER
"SALAMANCA, FULVIO",TODO CORAZON (1964/1967),11,EL AMANECER
SASSONE FLORINDO,INSTRUMENTALES-2,13,EL AMANECER
SASSONE FLORINDO,DAN 4005,13,EL AMANECER
DARIENZO JUAN,MILONGA DEL 83,24,EL AMASIJO
RACCIATTI DONATO,LINDO TIEMPO...,23,EL AMOR ES SIEMPRE AMOR
GOBBI ALFREDO,VOLUMEN 2,13,EL ANDARIEGO
FERRI OSVALDO,ASI CANTA HORACIO PALMA,3,EL ANGEL DE TU CARA
"D ARIENZO, JUAN",COLECC. 78 RPM 1941-1944,19,EL APACHE ARGENTINO
DARIENZO JUAN,AQUELLOS TANGOS...,14,EL APACHE ARGENTINO
FRANCINI-PONTIER,VOLUMEN 3,12,EL APACHE ARGENTINO
FRANCINI-PONTIER,INSTRUMENTAL-1,10,EL APACHE ARGENTINO
FRANCINI-PONTIER,INSTRUMENTAL-1,10,EL APACHE ARGENTINO
FRANCINI-PONTIER,INSTRUMENTAL-1,10,EL APACHE ARGENTINO
LA TUBATANGO,BIEN CANYENGUE,3,EL APACHE ARGENTINO
TROILO ANÍBAL,COL 5002,5,EL APACHE ARGENTINO
"D ARIENZO, JUAN",ATANICHE,15,EL APRONTE
DARIENZO JUAN,FIRPO ROBERTO,1,EL APRONTE
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,3,EL APRONTE
"STAMPONE, ATILIO",EL TANGO EN LA TEVE .Y RADIO,15,EL ARANQUE
D AGOSTINO ANGEL,TANGOS DE LOS ANGELES VOL.3,2,EL ARISTOCRATA (SHUSHETA)
DAGOSTINO ANGEL,ASI ERA EL TANGO,23,EL ARISTOCRATA (SHUSHETA)
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,2,EL ARISTOCRATA (SHUSHETA)
JUAN POLITO,EL INTERNADO,3,EL ARISTOCRATA (SHUSHETA)
POLITO JUAN,EL INTERNADO,3,EL ARISTOCRATA (SHUSHETA)
DE CARO JULIO,LOS MEJORES INSTRUMENTALES,6,EL ARRANQUE
DEMARCO MARIO,SIN TACHA,6,EL ARRANQUE
PUGLIESE OSVALDO,VAYAN SALIENDO,9,EL ARRANQUE
PUGLIESE OSVALDO,DE CARO JULIO,6,EL ARRANQUE
PUGLIESE OSVALDO,DAN 401,1,EL ARRANQUE
STAZO LUIS,LOS 14 DE JULIO DE CARO,2,EL ARRANQUE
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,13,EL ARROYITO
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",12,EL ARROYITO
RODRIGUEZ ENRIQUE,ESTE ES TU TANGO,24,EL ARROYITO
RODRIGUEZ ENRIQUE,LOS MEJORES...,13,EL ARROYITO
"VARELA, HECTOR",NOCHES DE CABARET,7,EL AS DE LOS ASES
TAGINI FLAVIO,7 LOCOS,3,EL ASTROLOCO
TAGINI FLAVIO,7 LOCOS,3,EL ASTROLOCO
TAGINI FLAVIO,7 LOCOS,3,EL ASTROLOCO
DEMARE LUCIO,VOLUMEN 2,16,EL BAILE DE LOS DOMINGOS
CASTILLO ALBERTO,ALBERTO CASTILLO.RECUERDO,12,EL BAILE DE LOS MORENOS
ALEMAN OSCAR,TENGO RITMO,23,EL BAILE DE LOS NEGROS
MADERNA OSMAR,LOS MEJORES INSTRUMENTALES,12,EL BAJEL
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 02 (1947/1949)",18,EL BAJEL
DE CARO JULIO,BARDI AGUSTIN,8,EL BAQUEANO
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 02 (1947/1949)",12,EL BAQUEANO
TROILO ANIBAL,VOLUMEN 23,3,EL BAQUEANO
D AGOSTINO ANGEL,EL BAR DE ROSENDO,16,EL BAR DE ROSENDO
DEMARE LUCIO,VOLUMEN 3,8,EL BARCO MARIA
DEMARE LUCIO,NEGRO EL 20 1944-1951,1,EL BARCO MARIA
CENTEYA JULIAN,POEMAS Y GLOSAS,2,EL BARRIO
TROILO ANIBAL,VOLUMEN 4,3,EL BARRIO DEL TAMBOR
TROILO ANIBAL,MILONGAS,7,EL BARRIO DEL TAMBOR
"DURAN, JORGE",DURAN -- REYES,7,EL BATIDOR
OCAMPO CARLOS MONTBRUN,PARA CUYO,13,EL BESO
ORQUESTA TIPICA VICTOR,BAILARIAS,13,EL BESO DE MANUELITA
"RODRIGUEZ, ENRIQUE",SUS PRIMEROS SUCESOS,17,EL BOULEVAR DE LA DESILUSION
CANARO FRANCISCO,BARDI AGUSTIN,4,EL BUEY SOLO
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,8,EL BUEY SOLO
LOS ASTROS DEL TANGO,VOL. 2,6,EL BUEY SOLO
TANTURI RICARDO,UNA EMOCION,4,EL BUEY SOLO
BASSO JOSE,JOSE BASSO.CANTAN FIORENTINO,1,EL BULIN DE LA CALLE AYACUCHO
LOS CUATRO DEL TANGO,COL 5015,7,EL BULÍN DE LA CALLE AYACUCHO
LOS CUATRO DEL TANGO,COL 5015,7,EL BULÍN DE LA CALLE AYACUCHO
LOS CUATRO DEL TANGO,COL 5015,7,EL BULÍN DE LA CALLE AYACUCHO
PONTIER ARMANDO,COL 5005,9,EL BULÍN DE LA CALLE AYACUCHO
"REYES, TITO",DURAN -- REYES,16,EL BULIN DE LA CALLE AYACUCHO
TROILO ANIBAL,VOLUMEN 1,11,EL BULIN DE LA CALLE AYACUCHO
TROILO ANIBAL,VOLUMEN 24,7,EL BULIN DE LA CALLE AYACUCHO
"VARELA, HECTOR",NOCHES DE CABARET,3,EL BULIN DE LA CALLE AYACUCHO
TAGINI FLAVIO,7 LOCOS,9,EL BUSCADOR DE ORO
TAGINI FLAVIO,7 LOCOS,9,EL BUSCADOR DE ORO
TAGINI FLAVIO,7 LOCOS,9,EL BUSCADOR DE ORO
CALÓ MIGUEL,COL 5003,2,EL BUSCAPIÉ
"CARABELLI, ADOLFO",INSPIRACION (1931/1934),18,EL CABURE
"CARABELLI, AFOLFO",ADOLFO CARABELLI 1927-1935,16,EL CABURÉ
DI SARLI CARLOS,NIDO GAUCHO,22,EL CABURE
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,9,EL CABURE
"PEDEVILLA, RICARDO",ORQUESTAS OLVIDADAS VOL 1,3,EL CABURE
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),15,EL CABURE
"D ARIENZO, JUAN",ATANICHE,17,EL CACHAFAZ
DEL PIANO EDUARDO,BUSTOS-DE ROSAS,9,EL CACHAFAZ
"DI SARLI, CARLOS",TANGUEANDO TE QUEIRO,6,EL CACHAFAZ
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),8,EL CACHAFAZ
CASTILLO ALBERTO,ALBERTO CASTILLO.CANDOMBES Y MILONGA,5,EL CACHIVACHERO
BRUNELLI FELICIANO,GRANDES EXITOS,18,EL CAIMAN
