Aníbal Troilo Obra Completa en RCA Vol. 09 - 58605,00743215860525,1
Aníbal Troilo Obra Completa en RCA Vol. 10 - 62491,00743216249121,1
Aníbal Troilo Obra Completa en RCA Vol. 11 - 62492,00743216249220,1
Aníbal Troilo Obra Completa en RCA Vol. 12 - 62493,00743216249329,1
Aníbal Troilo Obra Completa en RCA Vol. 13 - 69741,00743216974122,1
Aníbal Troilo Obra Completa en RCA Vol. 14 - 69742,00743216974221,1
Aníbal Troilo Obra Completa en RCA Vol. 15 - 69743,00743216974320,1
Aníbal Troilo Obra Completa en RCA Vol. 16 - 76711,00743217671129,1
Aníbal Troilo y su Orquesta Típica 1957-1959 - Disco Latina (CDL 3001),02480002300120,1
Apasionado - Osvaldo Fresedo - Reliquias 2002 (541700),00724354170027,1
Aquí Está el Tango - FU (D10045),02480002102298,1
"Archivo ""TK"" Vol. 1 - Bien Milonga - Aníbal Troilo 1950/51 - (EU-13001)",07798089730286,1
"Archivo ""TK"" Vol. 2 - Tecleando - Aníbal Troilo 1952 - (EU-13002)",07798089730293,1
"Archivo ""TK"" Vol. 3 - Mano Brava - Aníbal Troilo 1952/53 - (EU-13003)",07798089730309,1
"Archivo ""TK"" Vol. 4 - De Muy Adentro - Aníbal Troilo 1954/55 - (EU-13004)",07798089730316,1
"Archivo ""TK"" Vol. 5 - Sur - Aníbal Troilo 1956 - (EU-13005)",07798089730323,1
Arrabalero (Osvaldo Fresedo) - Blue Moon (BMT 024),08427328140249,1
Arrabalero - Canta: Oscar Larroca - Alfredo De Angelis - Reliquias (837417),00724383741724,1
Astor Piazzolla Vol. 1 (1945-1946) - (CTA-791),02480001079126,1
Astor Piazzolla Vol. 2 (1946-1947) - (CTA-792),02480001079225,1
Astor Piazzolla Vol. 3 (1947-1948/1956) - (CTA-793),02480001079324,1
Atenti Pebeta - Blue Moon (BMT 016),08427328140164,1
Ausencia,00724383588626,1
Azucena Maizani 1925-1935 - BATC (col-535/5035),02480002150350,1
Azucena Maizani Vol. 2 (1924-1926) - (CTA-847),02480001084724,1
Bailando Con Caló - Archivo Odeon (EU-19003),00094636268620,1
Bailando Tango Instrumentales (dancing tango) - Osvaldo Pugliese y su orquesta - EMI (5204332),00724352043323,1
"Bailando Tangos, Valses y Milongas - Reliquias (595159)",00724359515922,1
Bailando todos los ritmos - Enrique Rodríguez - Reliquias (837408),00724383740826,1
Bailando valses y milongas con Pichuco - 1941-1948 - Archivo RCA (EU-16026),00828766410921,1
Bajo Belgrano - Blue Moon (BMT 012),08427328140126,1
Barrio Belgrano - Más grande que nunca 1958-1959 - Colección Juan D'Arienzo 2005 (693502),00828766935028,1
Barrio de Tango - 1942 - Troilo en RCA (594382),00828765943826,1
BeG filtered - Osvaldo Pugliese Vol. 1 (1943-1944) - (CTA-521),02480001052129,1
BeG filtered - Todo Carlos Di Sarli de FM Tango Para Usted - Instrumental - Volumen 1 - 16108,07798113060273,1
Bien De Abajo - 40 Obras Fundamentales CD 2 (5427012),00731454270120,1
Bien Jaileife - Julio De Caro - Reliquias (541697),00724354169724,1
Bien Milonguero Vol. 1 - Florindo Sassone - Reliquias (529431),00724352943128,1
Bien Milonguero Vol. 2 - Florindo Sassone - Reliquias (529128),00724352912827,1
Bien Pulenta 1950-1952 - Colección Juan D'Arienzo 2004 (693402),00828766934021,1
Bien porteño - Aníbal Troilo - Alfredo Gobbi - para bailar - Archivo RCA (EU-16041),00886974314523,1
Buen Amigo 1927-1931 - El bandoneón (EBCD 107),08427328131070,1
Buenos Aires to Europe - Argentine Tango Bands on Tour 1925-1942 - Harlequin (HQCD-121),00008637212124,1
"Cafetín De Buenos Aires - Aníbal Troilo ""Pichuco"" canta Edmundo Rivero - BMG/Tango Argentino 1996 (412942)",00743214129425,1
